bina_serial,tellcordia_id,location_id,onemap_objectid,eslesme,ad,site_adi,blok_adi,kapi_no,bina_turu,mahalle,cadde,sokak,ilce,il,obek,site_grup,lat,lon,konum_kaynagi,taban_alani_m2,kat,kat_kaynagi,konut_sayisi,isyeri_sayisi,toplam_hp,soho_hp,res_hp,aktif_toplam,aktif_res,aktif_soho,aktif_toptan,aktif_esnaf,aktif_diger,firsat,bina,penetrasyon,kurulum_son_ay,churn_son_ay,tv,tv_yan_oda,protokol_segment,toplu_satis,altyapi,teknoloji,evrak_tipi,sales_ready,satisa_hazir_yil,uavt_bina_kodu,ofis_km
BN-00000853-1,16014701530,O433437,126149.0,Tellcordia ID,METALKENT SİT. A BLOK,METALKENT,A,19,SİTE,Erikli,2. Adalet Cd.,2. Adalet Cd.,Yıldırım,Bursa,BRS-SITELER,S:Yıldırım|Erikli|METALKENT#1,40.18851601761003,29.136894451748297,OneMap bina poligonu merkezi,370.5825736266346,11,Tahmin,29.0,,29,0,29,14,14,1,0,0,0,15,1,0.4827586206896552,0,0,13,1,BİREYSEL,,FTTb,,BF,2011-05-05,2011.0,19981529.0,15.980836715039864
BN-00000853-2,16014701527,O433438,126147.0,Tellcordia ID,METALKENT SİT. B BLOK,METALKENT,B,11,SİTE,Erikli,Eylül Cd.,Eylül Cd.,Yıldırım,Bursa,BRS-SITELER,S:Yıldırım|Erikli|METALKENT#1,40.1881493430355,29.136092077113894,OneMap bina poligonu merkezi,499.4137337003756,8,Tahmin,28.0,,28,0,28,10,10,0,0,0,0,18,1,0.35714285714285715,0,0,5,0,BİREYSEL,,FTTb,,BF,2011-05-05,2011.0,17224136.0,15.923368108294824
BN-00000853-3,16014701528,O433439,126148.0,Tellcordia ID,METALKENT SİT. C BLOK,METALKENT,C,8,SİTE,Erikli,Çoruh Sk.,Çoruh Sk.,Yıldırım,Bursa,BRS-SITELER,S:Yıldırım|Erikli|METALKENT#1,40.18816634208878,29.136948734251142,OneMap bina poligonu merkezi,398.880015186766,10,Tahmin,29.0,,29,0,29,7,7,0,0,0,0,22,1,0.2413793103448276,0,0,5,0,BİREYSEL,,FTTb,,BF,2011-05-05,2011.0,17224121.0,15.993918976943588
BN-00000853-4,16014701529,O433440,126146.0,Tellcordia ID,METALKENT SİT. D BLOK,METALKENT,D,23,SİTE,Erikli,2.adalet Cd.,2.adalet Cd.,Yıldırım,Bursa,BRS-SITELER,S:Yıldırım|Erikli|METALKENT#1,40.18852437786404,29.136321023256155,OneMap bina poligonu merkezi,554.818085506231,7,Tahmin,29.0,,29,0,29,22,22,0,0,0,0,7,1,0.7586206896551724,0,0,17,0,BİREYSEL,,FTTb,,BF,2011-05-05,2011.0,19981528.0,15.933097889914373
BN-00000864-1,16014701509,O433973,67036.0,Tellcordia ID,BUTTİM SİT. E3 BLOK,BUTTİM,BUTTİM,43,Site,Altınova,Fuar Cd.,Fuar Cd.,Osmangazi,Bursa,BRS-YESILSEHIR2,S:Osmangazi|Altınova|BUTTIM#1,40.23640919665602,29.067764113337283,OneMap bina poligonu merkezi,1463.7098908914322,9,Tahmin,100.0,,100,100,0,7,5,17,2,0,1,0,1,,0,0,2,0,SOHO,,FTTb,,BF,2011-03-02,2011.0,26966799.0,9.86934261117152
BN-00000864-10,16014701500,O433982,4827600.0,Tellcordia ID,BUTTİM SİT. B2 BLOK,BUTTİM,B2,55,SİTE,Altınova,Fuar Cd.,Fuar Cd.,Osmangazi,Bursa,BRS-YESILSEHIR2,S:Osmangazi|Altınova|BUTTIM#1,40.23771806886606,29.065204683137832,OneMap bina poligonu merkezi,1853.4785343605665,1,Tahmin,,,100,100,0,20,8,30,1,11,1,0,1,,0,0,3,0,SOHO,,FTTb,,BF,2011-03-02,2011.0,26966814.0,9.682896602505474
BN-00000864-11,16014701499,O433983,67038.0,Tellcordia ID,BUTTİM SİT. A2 BLOK,BUTTİM,BUTTİM,424/5,Site,Altınova,İstanbul Cd.,İstanbul Cd.,Osmangazi,Bursa,BRS-YESILSEHIR2,S:Osmangazi|Altınova|BUTTIM#1,40.23624167655147,29.066398018453626,OneMap bina poligonu merkezi,1100.3824058779458,12,Tahmin,100.0,,100,100,0,48,30,50,5,13,2,0,1,,2,0,6,0,SOHO,,FTTb,,BF,2011-03-02,2011.0,19947035.0,9.751784260834286
BN-00000864-12,16014701510,O433984,67027.0,Tellcordia ID,BUTTİM PLAZA,BUTTİM PLAZA,BUTTİM PLAZA,59,Site,Altınova,Fuar Cd.,Fuar Cd.,Osmangazi,Bursa,BRS-YESILSEHIR2,S:Osmangazi|Altınova|BUTTIM PLAZA,40.23699389856941,29.064546823782475,OneMap bina poligonu merkezi,1142.8012153264867,10,Tahmin,80.0,,80,80,0,8,7,13,0,1,1,0,1,,0,0,2,0,SOHO,,FTTb,,BF,2011-03-02,2011.0,26966818.0,9.612513763508078
BN-00000864-2,16014701508,O433974,67034.0,Tellcordia ID,BUTTİM SİT. E4 BLOK,BUTTİM,BUTTİM,47,Site,Altınova,Fuar Cd.,Fuar Cd.,Osmangazi,Bursa,BRS-YESILSEHIR2,S:Osmangazi|Altınova|BUTTIM#1,40.237261068151604,29.067644633692126,OneMap bina poligonu merkezi,1500.698935641158,8,Tahmin,90.0,,90,90,0,9,5,8,1,3,1,0,1,,0,0,3,0,SOHO,,FTTb,,BF,2011-03-02,2011.0,26966804.0,9.876657625602267
BN-00000864-3,16014701507,O433975,67029.0,Tellcordia ID,BUTTİM SİT. D4 BLOK,BUTTİM,BUTTİM,53,Site,Altınova,Fuar Cd.,Fuar Cd.,Osmangazi,Bursa,BRS-YESILSEHIR2,S:Osmangazi|Altınova|BUTTIM#1,40.23792760906167,29.06573591692425,OneMap bina poligonu merkezi,1737.771700008859,8,Tahmin,100.0,100.0,100,100,0,11,6,13,0,5,1,0,1,,0,0,0,0,SOHO,,FTTb,,BF,2011-03-02,2011.0,-67029.0,9.731745515088974
BN-00000864-4,16014701506,O433976,67037.0,Tellcordia ID,BUTTİM SİT. C4 BLOK,BUTTİM,BUTTİM,41,Site,Altınova,Fuar Cd.,Fuar Cd.,Osmangazi,Bursa,BRS-YESILSEHIR2,S:Osmangazi|Altınova|BUTTIM#1,40.23621301467905,29.067123385495215,OneMap bina poligonu merkezi,1570.270100592806,9,Tahmin,100.0,,100,100,0,12,5,24,0,7,0,0,1,,0,0,1,0,SOHO,,FTTb,,BF,2011-03-02,2011.0,26966760.0,9.811884892269733
BN-00000864-5,16014701505,O433977,67031.0,Tellcordia ID,BUTTİM SİT. B4 BLOK,BUTTİM,BUTTİM,53A,Site,Altınova,Fuar Cd.,Fuar Cd.,Osmangazi,Bursa,BRS-YESILSEHIR2,S:Osmangazi|Altınova|BUTTIM#1,40.237977396882215,29.06628959925865,OneMap bina poligonu merkezi,1586.176798755859,5,Tahmin,55.0,55.0,55,55,0,16,5,30,1,10,0,0,1,,0,0,1,0,SOHO,,FTTb,,BF,2011-03-02,2011.0,29138158.0,9.778964784853947
BN-00000864-6,16014701504,O433978,67035.0,Tellcordia ID,BUTTİM SİT. A4 BLOK,BUTTİM,BUTTİM,45,Site,Altınova,Fuar Cd.,Fuar Cd.,Osmangazi,Bursa,BRS-YESILSEHIR2,S:Osmangazi|Altınova|BUTTIM#1,40.23682521219328,29.06778958802572,OneMap bina poligonu merkezi,1433.1974143121995,9,Tahmin,100.0,,100,100,0,24,14,34,0,10,1,0,1,,0,0,2,0,SOHO,,FTTb,,BF,2011-03-02,2011.0,16367447.0,9.879806067562509
BN-00000864-7,16014701503,O433979,67032.0,Tellcordia ID,BUTTİM SİT. E2 BLOK,BUTTİM,BUTTİM,51,Site,Altınova,Fuar Cd.,Fuar Cd.,Osmangazi,Bursa,BRS-YESILSEHIR2,S:Osmangazi|Altınova|BUTTIM#1,40.23786424056382,29.066828013601086,OneMap bina poligonu merkezi,1579.0930345664901,9,Tahmin,100.0,,100,100,0,11,3,17,2,6,1,0,1,,0,1,0,0,SOHO,,FTTb,,BF,2011-03-02,2011.0,26966808.0,9.82136278477596
BN-00000864-8,16014701502,O433980,67028.0,Tellcordia ID,BUTTİM SİT. D2 BLOK,BUTTİM,BUTTİM,57,Site,Altınova,Fuar Cd.,Fuar Cd.,Osmangazi,Bursa,BRS-YESILSEHIR2,S:Osmangazi|Altınova|BUTTIM#1,40.23737524528144,29.06478402956087,OneMap bina poligonu merkezi,1517.594172691669,9,Tahmin,100.0,,100,100,0,14,10,20,0,4,0,0,1,,0,0,2,0,SOHO,,FTTb,,BF,2011-03-02,2011.0,26966816.0,9.640410845932943
BN-00000864-9,16014701501,O433981,67033.0,Tellcordia ID,BUTTİM SİT. C2 BLOK,BUTTİM,BUTTİM,49,Site,Altınova,Fuar Cd.,Fuar Cd.,Osmangazi,Bursa,BRS-YESILSEHIR2,S:Osmangazi|Altınova|BUTTIM#1,40.237614173277656,29.067305775619403,OneMap bina poligonu merkezi,1653.551878047458,8,Tahmin,100.0,,100,100,0,21,7,26,0,14,0,0,1,,0,0,2,0,SOHO,,FTTb,,BF,2011-03-02,2011.0,26966806.0,9.855820929078316
BN-00001604-1,107237,O407214,123044.0,Tellcordia ID,GAZİ APT. B BLOK,,,1,Tekil Konut,Akpınar,1.akın Sk.,1.akın Sk.,Osmangazi,Bursa,BRS-1050 KONUTLAR2,B:BN-00001604-1,40.24925049716624,28.963696159155827,OneMap bina poligonu merkezi,313.02077405177135,6,OneMap,12.0,2.0,12,2,10,0,0,0,0,0,0,10,1,0.0,0,0,0,0,BİREYSEL,,FTTb,,BF,2015-01-30,2015.0,7042794.0,3.3010452229304916
BN-00001604-117,108324,O825946,352449.0,Tellcordia ID,ERGOLAN 2 APT.,,,1,Tekil Konut,Akpınar,Akbulut Sk.,Akbulut Sk.,Osmangazi,Bursa,BRS-1050 KONUTLAR2,B:BN-00001604-117,40.24525737655325,28.97046890729295,OneMap bina poligonu merkezi,505.4563185101381,5,OneMap,17.0,5.0,17,5,12,11,9,1,2,0,0,3,1,0.75,0,0,6,1,BİREYSEL,,FTTb,,BF,2012-05-22,2012.0,2908641.0,3.0991909117473333
BN-00001604-119,108082,O825948,354046.0,Tellcordia ID,GARDENYA 17 APT.,,,17,Tekil Konut,Emek Zekai Gümüşdiş,Turgut Özal Cd.,Turgut Özal Cd.,Osmangazi,Bursa,BRS-1050 KONUTLAR2,B:BN-00001604-119,40.254135309338196,28.958195015100614,OneMap bina poligonu merkezi,436.1974344576913,8,OneMap,23.0,2.0,23,2,21,13,13,0,0,0,0,8,1,0.6190476190476191,1,0,8,0,BİREYSEL,,FTTb,,BF,2012-07-24,2012.0,2903978.0,3.7470854858508647
