bolge,bolge_adi,bina_serial,tellcordia_id,location_id,ad,site_adi,blok_adi,kapi_no,mahalle,cadde,sokak,ilce,il,obek,lat,lon,kat,toplam_hp,res_hp,aktif_res,firsat,penetrasyon,ofis_km
1,Nilüfer · Dumlupınar – Balkan,BN-0000354568,16014744917,O24582005,A. PRIME KAYAPA SİT. A BLK.,A. PRIME KAYAPA,A,1A,30 Ağustos Zafer,75. Sk.,75. Sk.,Nilüfer,Bursa,BRS-KAYAPA_TOKI2,40.20060193262354,28.84817284506017,4,15,12,6,6,0.5,9.219924813393082
1,Nilüfer · Dumlupınar – Balkan,BN-0000354569,16014744918,O24582006,A. PRIME KAYAPA SİT. B BLK.,A. PRIME KAYAPA,B,1BA,30 Ağustos Zafer,75. Sk.,75. Sk.,Nilüfer,Bursa,BRS-KAYAPA_TOKI2,40.200779757540914,28.848210277525972,4,13,12,2,10,0.1666666666666666,9.212174978335632
1,Nilüfer · Dumlupınar – Balkan,BN-0000363554,16014729843,O25311662,ADELYA SİT. A BLK.,ADELYA,A,8B,30 Ağustos Zafer,62. Sk.,62. Sk.,Nilüfer,Bursa,BRS-KAYAPA_TOKI2,40.19548888223739,28.843132253722693,8,32,32,12,20,0.375,9.780803313097982
1,Nilüfer · Dumlupınar – Balkan,BN-0000363555,16014729844,O25311663,ADELYA SİT. B BLK.,ADELYA,B,8A,30 Ağustos Zafer,62. Sk.,62. Sk.,Nilüfer,Bursa,BRS-KAYAPA_TOKI2,40.19581261973269,28.842862332512837,9,32,32,4,28,0.125,9.792803393918804
1,Nilüfer · Dumlupınar – Balkan,BN0001002755,16014745890,O27326179,ADULIS GARDEN  A,ADULIS GARDEN ,A,10A,30 Ağustos Zafer,,70. Sk.,Nilüfer,Bursa,BRS-KAYAPA_TOKI2,40.19837645,28.8462592,14,24,24,8,16,0.3333333333333333,9.438582278948257
1,Nilüfer · Dumlupınar – Balkan,BN0001002754,16014745891,O27326178,ADULIS GARDEN B,ADULIS GARDEN,B,13,30 Ağustos Zafer,,67. Sk.,Nilüfer,Bursa,BRS-KAYAPA_TOKI2,40.19856505,28.84633145,17,24,24,7,17,0.2916666666666667,9.427278057139366
1,Nilüfer · Dumlupınar – Balkan,BN-0000346102,16014744583,O24017268,AFM APT.,,,5,30 Ağustos Zafer,45. Sk.,45. Sk.,Nilüfer,Bursa,BRS-KAYAPA_TOKI2,40.18443438754552,28.839073364996587,7,12,8,1,7,0.125,10.51172417830651
1,Nilüfer · Dumlupınar – Balkan,BN-0000353521,16014744879,O24518069,AK YAPI NERGİS EVLERİ SİT. A BLK.,AK YAPI NERGİS EVLERİ,A,2A,30 Ağustos Zafer,Bozyaka Cd.,Bozyaka Cd.,Nilüfer,Bursa,BRS-KAYAPA_TOKI2,40.20081790817958,28.850506908908724,8,22,12,8,4,0.6666666666666666,9.021575509685588
1,Nilüfer · Dumlupınar – Balkan,BN-0000353522,16014744880,O24518070,AK YAPI NERGİS EVLERİ SİT. B BLK.,AK YAPI NERGİS EVLERİ,B,2B,30 Ağustos Zafer,Bozyaka Cd.,Bozyaka Cd.,Nilüfer,Bursa,BRS-KAYAPA_TOKI2,40.20085266133593,28.85083232241735,7,18,12,8,4,0.6666666666666666,8.993803382237141
1,Nilüfer · Dumlupınar – Balkan,BN-0000346101,16014744582,O24017267,AKBEY APT.,,,6,30 Ağustos Zafer,45. Sk.,45. Sk.,Nilüfer,Bursa,BRS-KAYAPA_TOKI2,40.18418047860956,28.83899643841657,4,10,10,0,10,0.0,10.528435158334942
1,Nilüfer · Dumlupınar – Balkan,BN-0000346103,16014744584,O24017269,AKSEL EVLERİ SİT. A BLK.,AKSEL EVLERİ,A,16A,30 Ağustos Zafer,Karşıbağlar Cd.,Karşıbağlar Cd.,Nilüfer,Bursa,BRS-KAYAPA_TOKI2,40.18293600108946,28.83209405823476,9,16,12,8,4,0.6666666666666666,11.123751856089354
1,Nilüfer · Dumlupınar – Balkan,BN-0000346104,16014744585,O24017270,AKSEL EVLERİ SİT. B BLK.,AKSEL EVLERİ,B,16B,30 Ağustos Zafer,Karşıbağlar Cd.,Karşıbağlar Cd.,Nilüfer,Bursa,BRS-KAYAPA_TOKI2,40.18281567593176,28.83188588401214,8,15,10,7,3,0.7,11.145132532121002
1,Nilüfer · Dumlupınar – Balkan,BN-0000346105,16014744586,O24017271,AKSEL EVLERİ SİT. C BLK.,AKSEL EVLERİ,C,16C,30 Ağustos Zafer,Karşıbağlar Cd.,Karşıbağlar Cd.,Nilüfer,Bursa,BRS-KAYAPA_TOKI2,40.18288647733024,28.831652835433587,16,17,12,8,4,0.6666666666666666,11.160597421337942
1,Nilüfer · Dumlupınar – Balkan,BN-0000346106,16014744587,O24017272,AKSEL EVLERİ SİT. D BLK.,AKSEL EVLERİ,D,16 D,30 Ağustos Zafer,Karşıbağlar Cd.,Karşıbağlar Cd.,Nilüfer,Bursa,BRS-KAYAPA_TOKI2,40.18300994981548,28.83153740645946,14,14,10,7,3,0.7,11.164637049542268
1,Nilüfer · Dumlupınar – Balkan,BN-0000348097,16014744756,O24117686,AKTAŞ CONCEPT 1 SİT. A BLK.,AKTAŞ CONCEPT 1,A,14A,30 Ağustos Zafer,İpek Cd.,İpek Cd.,Nilüfer,Bursa,BRS-KAYAPA_TOKI2,40.19240898270164,28.84458843362829,5,15,12,7,5,0.5833333333333334,9.764808671610774
